SampleID	Flagstaff 1 inhabitant	flagstaff	sandiego	toronto	Unknown
5PH4KD89VMSQ2	0.0299	0.0398	0.0192	0.0305	0.8806
3I17PYF8OZ5XL	0.2481	0.0243	0.1776	0.3792	0.1708
6GELYL37F3BLY	0.0333	0.1385	0.3302	0.0178	0.4802
2BU5WIYHC36TW	0.1526	0.0451	0.0637	0.4761	0.2625
MHWWTAM6WZ4J	0.0225	0.2201	0.4948	0.0044	0.2582
53DKBXK2AG2O3	0.1896	0.0653	0.3517	0.067	0.3264
G76F815Q42FF	0.0199	0.002	0.0041	0.0133	0.9607
23DCV9G8L24XK	0.0721	0.036	0.0316	0.013	0.8473
XPKGOVPEM6TO	0.0128	0.0113	0.0195	0.0132	0.9432
NS1PRQW9AFO8	0.0437	0.242	0.1154	0.0713	0.5276
2LUJ5QCSFIJV5	0.1445	0.4924	0.0165	0.0123	0.3343
5PPDOW4RQOPSZ	0.1027	0.0842	0.0126	0.018	0.7825
3YNKHS4EWVUWZ	0.0083	0.0055	0.0035	0.0064	0.9763
4JSCKFTX7LYAD	0.0418	0.1513	0.3667	0.1594	0.2808
7G5O8UPIZQAT8	0.0351	0.037	0.0105	0.0062	0.9112
1S76NT285ZFSR	0.0381	0.0143	0.0221	0.0084	0.9171
4FKXN5WMBOBO0	0.0057	0.0046	0.0082	0.0104	0.9711
57I1KQV9JMSZH	0.029	0.0109	0.0122	0.1535	0.7944
3ZZV6JXSVT5AS	0.0196	0.0255	0.004	0.0086	0.9423
TQ9CY2SEP8UO	0.002	0.0017	0.0026	0.0032	0.9905
3SVCXAC8Z71N0	0.0016	0.0016	0.0038	0.0078	0.9852
6BIXBKQDDJW4M	0.0065	0.0062	0.0044	0.0032	0.9797
68WU6OYJSRV5C	0.4662	0.1333	0.0206	0.0307	0.3492
YFUO0SXM8X8G	0.008	0.5285	0.0057	0.0225	0.4353
1PQUI0F8YOFYT	0.0109	0.0019	0.004	0.0069	0.9763
GRYHDYIS1QVR	0.1573	0.0277	0.1944	0.0565	0.5641
177EZ8ZBPWS5A	0.0122	0.0133	0.0315	0.0093	0.9337
6S4SCC2AAEYVH	0.0075	0.0228	0.0141	0.0084	0.9472
1V64ZY9GIOA8X	0.0221	0.061	0.0098	0.081	0.8261
4WAMUSF5JPKH8	0.0247	0.035	0.0258	0.135	0.7795
762JX2BABGESR	0.0179	0.0076	0.2859	0.3149	0.3737
7EYMS3NQ38FC8	0.1008	0.1502	0.1079	0.285	0.3561
704U0YCNH37UU	0.0123	0.0125	0.0089	0.296	0.6703
13F9YYZIQ7S0T	0.0098	0.0158	0.0282	0.0124	0.9338
775F6UOW0CULC	0.0089	0.0212	0.1595	0.0326	0.7778
10Y74YR04LIWP	0.1376	0.2683	0.0285	0.251	0.3146
31LCLFGG8URDP	0.0172	0.0052	0.0135	0.0154	0.9487
10QFRI7RKL82B	0.1554	0.041	0.022	0.6197	0.1619
WUMEK0BJU2CP	0.0404	0.091	0.25	0.1484	0.4702
48E62DOE59B9J	0.0062	0.0038	0.0109	0.004	0.9751
4I916F2U2ZMCC	0.0069	0.0053	0.0193	0.0123	0.9562
38UMEVJMSCBKI	0.1071	0.0497	0.1889	0.3531	0.3012
3Q3372HU0ABA9	0.0245	0.033	0.0097	0.0545	0.8783
5YLYHG12KHOAH	0.2664	0.0242	0.0938	0.3486	0.267
3T4P63FFKKLT2	0.0174	0.0436	0.0109	0.0434	0.8847
5KPYDXY6MPV0M	0.1249	0.2302	0.0187	0.1139	0.5123
5Q4863B4D8ZS8	0.0016	0.0083	0.0019	0.0041	0.9841
7PDUFA52XQEHZ	0.009	0.026	0.0062	0.0477	0.9111
6F1E2Y5EVG2GZ	0.0213	0.0411	0.0102	0.1392	0.7882
55ROQ1H2F5YW	0.0226	0.0587	0.0341	0.0359	0.8487
4U6H6K7W79Y7Q	0.0165	0.1093	0.4822	0.0895	0.3025
30JT9UEII1XV5	0.0071	0.006	0.0033	0.0038	0.9798
1FKHCKNTEIEQL	0.2086	0.0507	0.0213	0.0206	0.6988
1RFF41XX5Q6TN	0.1221	0.2139	0.0592	0.1681	0.4367
1G68WVBP2JBNZ	0.004	0.0018	0.0037	0.0034	0.9871
6P8FOJZKO1R48	0.0189	0.2559	0.2785	0.0099	0.4368
43PI4M999EXCF	0.0095	0.0178	0.004	0.0022	0.9665
76U5ZDGVLP3MT	0.0063	0.0022	0.0024	0.0061	0.983
1BWC4RVT4RA9T	0.0185	0.053	0.0241	0.069	0.8354
444RYE3GA5VZK	0.1102	0.0427	0.0668	0.3572	0.4231
2U6ZVSTMHYT8	0.0641	0.0361	0.1994	0.4107	0.2897
1CU4HSUXDE7BK	0.0104	0.0056	0.004	0.0031	0.9769
5009PMNB1TOO4	0.0159	0.0803	0.0056	0.1479	0.7503
7B2TF5GA2H9MM	0.1438	0.0904	0.0568	0.2171	0.4919
40P83SNBN893N	0.0155	0.1572	0.0155	0.0391	0.7727
2GCTY20HR6WK1	0.1003	0.5093	0.1086	0.0166	0.2652
4OJRKS8ZOAV6P	0.0227	0.0571	0.0182	0.0135	0.8885
2V6MLZ89HUG6O	0.2409	0.1103	0.0716	0.1688	0.4084
7DMTXMAWAUF1P	0.1022	0.2844	0.1682	0.0481	0.3971
2I554T9M56EV5	0.0055	0.0008	0.0012	0.0047	0.9878
1CW4W69BJXH0M	0.0398	0.0721	0.3603	0.1624	0.3654
1NNA74A11PKR	0.0139	0.0092	0.0072	0.018	0.9517
1O9JID2K0LDPU	0.0021	0.0013	0.0034	0.0021	0.9911
TOOHLIUDBZJ0	0.413	0.2558	0.0546	0.0108	0.2658
5LPHB5LQ6ZEU4	0.0066	0.0069	0.0182	0.0482	0.9201
57PK12680DGS8	0.0068	0.0169	0.0051	0.0141	0.9571
1FLKDMR79CDYZ	0.0238	0.0753	0.0159	0.0891	0.7959
34R874BTDZKHI	0.0097	0.0136	0.5357	0.123	0.318
1KEWCNB3JBHNS	0.0118	0.0135	0.0058	0.0026	0.9663
7NRA7M0SX7XC7	0.1043	0.1276	0.3212	0.1196	0.3273
6A1MBXDOFGTVN	0.036	0.0439	0.0356	0.0312	0.8533
2P3NL2LCGJI6P	0.109	0.1134	0.0654	0.1269	0.5853
1NL0VHEQRPXT8	0.2212	0.1032	0.0291	0.0179	0.6286
61BDYWIY9WL8U	0.148	0.0813	0.0377	0.0444	0.6886
5QTF5WYCZ2F94	0.0438	0.0101	0.0491	0.0171	0.8799
2PUXAJ93A9H2J	0.0269	0.0849	0.0249	0.0413	0.822
VY3DUHOS70PB	0.018	0.019	0.011	0.0303	0.9217
7AR7UTQF7ASPV	0.0063	0.0036	0.0133	0.0792	0.8976
2UBC3RRQB1XWQ	0.013	0.0063	0.0114	0.01	0.9593
D15FBADQGD1B	0.014	0.0726	0.0085	0.142	0.7629
UG747EVABLGH	0.0103	0.0117	0.0205	0.0629	0.8946
6U2CUC6AMBJY5	0.0109	0.0178	0.0064	0.0087	0.9562
79NRNSMYIPG9L	0.1209	0.0261	0.0264	0.1329	0.6937
4QMLAT4L2MV66	0.0026	0.0032	0.0068	0.0025	0.9849
